geo_key,name,tot_pop_10,pc_wht_10,avg_huval,yrblt_mdn,crash,crm_prop,yrblt_mdn,pc_ov64_10,avg_stcnd,pc_un18_10,pc_fmwc_10,crm_pers,year
137,South Campus Property Owners Association,4194,80.5,,1988,79,134,1988,0.3,7.7,0.1,0.1,22,2012
116,University Apartments Assembly,2643,29.9,,1963,1,1,1963,0.5,4.0,26.8,39.8,0,2012
178,Leopold Neighborhood Association,1105,45.0,,1982,15,50,1982,5.3,7.5,27.1,29.3,33,2012
348,State-Langdon Neighborhood Association,10146,78.9,,1964,153,467,1964,0.2,7.9,0.3,0.3,171,2012
1,City of Madison,232659,75.6,232926.0,1972,11202,9582,1972,9.6,6.8,17.5,20.9,2058,2013
148,Bay Creek Neighborhood Association,2401,83.6,214226.0,1947,107,141,1947,11.1,6.5,14.8,15.7,16,2013
105,Eken Park Neighborhood Association,2505,78.3,133792.0,1948,66,88,1948,6.8,6.7,15.0,16.3,40,2013
149,Waunona Neighborhood Association,1027,71.0,326710.0,1959,2,13,1959,14.5,7.4,20.8,22.9,6,2013
126,Capitol Neighborhoods,13843,82.0,260786.0,1969,369,768,1969,5.2,7.0,1.4,1.4,172,2013
176,Dudgeon-Monroe Neighborhood Association,3176,90.8,314416.0,1929,52,35,1929,9.2,6.2,18.6,26.8,3,2013
111,Eastmorland Community Association,3166,89.6,144840.0,1953,101,144,1953,14.1,6.5,16.3,19.4,17,2013
153,Burr Oaks Neighborhood Association,1744,20.1,137022.0,1962,116,91,1962,3.8,5.9,30.4,35.3,50,2013
175,Greystone,283,80.8,362467.0,2004,2,0,2004,5.0,8.0,32.1,47.6,0,2013
146,Midvale Heights Community Association,3479,83.6,228923.0,1958,36,94,1958,18.3,7.1,20.1,25.0,8,2013
129,Sunset Village Neighborhood Association,1842,87.4,238374.0,1948,27,23,1948,13.0,6.2,17.7,20.3,1,2013
136,Regent Neighborhood Association,6344,85.2,389164.0,1931,59,151,1931,6.2,6.9,12.4,15.4,31,2013
163,Skyview Meadows Neighborhood Association,532,81.4,196815.0,1987,5,11,1987,4.7,7.2,20.8,30.1,0,2013
352,Woodland Hills Neighborhood Association,682,81.8,273657.0,1985,3,10,1985,11.9,6.9,14.8,19.2,0,2013
118,Wexford Village Homeowners Association,2506,84.3,282630.0,1992,11,24,1992,15.6,6.9,19.7,22.5,2,2013
121,Elvehjem Neighborhood Association,4165,81.8,176877.0,1968,41,113,1968,15.2,6.7,21.9,27.3,27,2013
109,Sprecher East Neighborhood Association,2207,86.2,230310.0,2003,11,35,2003,6.0,8.0,23.6,31.1,8,2013
